
root@sayali-VirtualBox:~/Program# python /home/sayali/Program/hello.py
PID      ,laddr          ,raddr          ,status
"11008", "10.0.2.15@52318", "72.21.91.29@80", "CLOSE_WAIT"
"11008", "10.0.2.15@49548", "54.192.145.82@443", "ESTABLISHED"
"11008", "10.0.2.15@32810", "72.21.206.141@443", "ESTABLISHED"
"11008", "10.0.2.15@47236", "72.21.206.140@443", "ESTABLISHED"
"11008", "10.0.2.15@35444", "107.22.241.77@443", "ESTABLISHED"
"11008", "10.0.2.15@49544", "54.192.145.82@443", "ESTABLISHED"
"11008", "10.0.2.15@36980", "72.21.207.148@443", "ESTABLISHED"
"11008", "10.0.2.15@49538", "54.192.145.82@443", "ESTABLISHED"
"11008", "10.0.2.15@57578", "8.39.37.71@443", "ESTABLISHED"
"11008", "10.0.2.15@36978", "72.21.207.148@443", "ESTABLISHED"
"11008", "10.0.2.15@32816", "72.21.206.141@443", "ESTABLISHED"
"11008", "10.0.2.15@47238", "72.21.206.140@443", "ESTABLISHED"
"11008", "10.0.2.15@33718", "23.64.171.27@80", "ESTABLISHED"
"11008", "10.0.2.15@36962", "72.21.207.148@443", "ESTABLISHED"
"11008", "10.0.2.15@32814", "72.21.206.141@443", "ESTABLISHED"
"11008", "10.0.2.15@47230", "72.21.206.140@443", "ESTABLISHED"
"11008", "10.0.2.15@49536", "54.192.145.82@443", "ESTABLISHED"
"11008", "10.0.2.15@47458", "54.239.25.192@443", "ESTABLISHED"
"11008", "10.0.2.15@49540", "54.192.145.82@443", "ESTABLISHED"
"11008", "10.0.2.15@44378", "104.196.137.206@443", "ESTABLISHED"
"11008", "10.0.2.15@49542", "54.192.145.82@443", "ESTABLISHED"
"3574", "10.0.2.15@52296", "31.13.77.36@443", "ESTABLISHED"
"3574", "10.0.2.15@52046", "52.9.6.89@443", "ESTABLISHED"
"3574", "10.0.2.15@49584", "172.217.6.38@443", "ESTABLISHED"
"3574", "10.0.2.15@38638", "31.13.77.12@443", "ESTABLISHED"
"3574", "10.0.2.15@52144", "192.229.211.40@443", "ESTABLISHED"
"3574", "10.0.2.15@53416", "37.221.175.148@443", "ESTABLISHED"
"3574", "10.0.2.15@36408", "74.121.143.237@443", "ESTABLISHED"
"3574", "10.0.2.15@60992", "98.138.199.240@443", "ESTABLISHED"
"3574", "10.0.2.15@40172", "69.147.71.150@443", "ESTABLISHED"
"3574", "10.0.2.15@40480", "23.36.68.217@443", "ESTABLISHED"
"3574", "10.0.2.15@52138", "192.229.211.40@443", "ESTABLISHED"
"3574", "10.0.2.15@40478", "23.36.68.217@443", "ESTABLISHED"
"3574", "10.0.2.15@52034", "52.9.6.89@443", "ESTABLISHED"
"3574", "10.0.2.15@59546", "31.13.77.2@443", "ESTABLISHED"
"3574", "10.0.2.15@60582", "206.190.36.45@443", "ESTABLISHED"
"None", "10.0.2.15@51702", "52.84.239.143@443", "TIME_WAIT"
"None", "10.0.2.15@49880", "169.45.114.44@443", "TIME_WAIT"
"None", "10.0.2.15@48816", "192.0.78.13@443", "TIME_WAIT"
"None", "10.0.2.15@55420", "72.167.18.239@80", "TIME_WAIT"
"None", "10.0.2.15@51706", "52.84.239.143@443", "TIME_WAIT"
root@sayali-VirtualBox:~/Program#
